USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0  53044 11508 ?        Ss   янв21   0:11 /usr/lib/systemd/systemd --switched-root --system --deserialize=48 rhgb
root          92  0.0  0.0      0     0 ?        S    янв21   0:00 [kauditd]
root          93  0.0  0.0      0     0 ?        S    янв21   0:00 [oom_reaper]
root          95  0.0  0.0      0     0 ?        I<   янв21   0:00 [kworker/R-writeback]
root          96  0.1  0.0      0     0 ?        S    янв21  13:57 [kcompactd0]
root          97  0.0  0.0      0     0 ?        SN   янв21   0:00 [ksmd]
root          98  0.0  0.0      0     0 ?        SN   янв21   0:00 [khugepaged]
root          99  0.0  0.0      0     0 ?        I<   янв21   0:00 [kworker/R-cryptd]
root         100  0.0  0.0      0     0 ?        I<   янв21   0:00 [kworker/R-kintegrityd]
root         101  0.0  0.0      0     0 ?        I<   янв21   0:00 [kworker/R-kblockd]
root         102  0.0  0.0      0     0 ?        I<   янв21   0:00 [kworker/R-blkcg_punt_bio]
root         105  0.0  0.0      0     0 ?        S    янв21   0:00 [irq/9-acpi]
root         106  0.0  0.0      0     0 ?        I<   янв21   0:00 [kworker/R-tpm_dev_wq]
root         107  0.0  0.0      0     0 ?        I<   янв21   0:00 [kworker/R-ata_sff]
root         108  0.0  0.0      0     0 ?        I<   янв21   0:00 [kworker/R-md]
root         109  0.0  0.0      0     0 ?        I<   янв21   0:00 [kworker/R-md_bitmap]
root         110  0.0  0.0      0     0 ?        I<   янв21   0:00 [kworker/R-edac-poller]
root         111  0.0  0.0      0     0 ?        I<   янв21   0:00 [kworker/R-devfreq_wq]
root         112  0.0  0.0      0     0 ?        S    янв21   0:00 [watchdogd]
root         113  0.0  0.0      0     0 ?        I<   янв21   0:05 [kworker/6:1H-events_highpri]
root         114  0.0  0.0      0     0 ?        S    янв21   3:29 [kswapd0]
root         124  0.0  0.0      0     0 ?        I<   янв21   0:00 [kworker/R-kthrotld]
root         129  0.0  0.0      0     0 ?        I<   янв21   0:00 [kworker/R-acpi_thermal_pm]
root         130  0.0  0.0      0     0 ?        S    янв21   0:36 [hwrng]
root         141  0.0  0.0      0     0 ?        I<   янв21   0:00 [kworker/R-dm_bufio_cache]
root         142  0.0  0.0      0     0 ?        I<   янв21   0:00 [kworker/R-mld]
root         143  0.0  0.0      0     0 ?        I<   янв21   0:00 [kworker/R-ipv6_addrconf]
root         144  0.0  0.0      0     0 ?        I<   янв21   0:05 [kworker/1:1H-kblockd]
root         149  0.0  0.0      0     0 ?        I<   янв21   0:00 [kworker/R-kstrp]
root         314  0.0  0.0      0     0 ?        I<   янв21   0:05 [kworker/0:1H-kblockd]
root         316  0.0  0.0      0     0 ?        I<   янв21   0:06 [kworker/11:1H-kblockd]
root         354  0.0  0.0      0     0 ?        I<   янв21   0:05 [kworker/5:1H-events_highpri]
root         360  0.0  0.0      0     0 ?        I<   янв21   0:05 [kworker/8:1H-kblockd]
root         363  0.0  0.0      0     0 ?        I<   янв21   0:05 [kworker/7:1H-kblockd]
root         366  0.0  0.0      0     0 ?        I<   янв21   0:06 [kworker/10:1H-kblockd]
root         378  0.0  0.0      0     0 ?        I<   янв21   0:05 [kworker/2:1H-events_highpri]
